age,workclass,education,marital-status,occupation,relationship,gender,native-country,income
24,Self-emp-not-inc,Bachelors,Dating,Sales,Not-in-family,Male,USA,"(25K, 37.5K]"
23,Local-gov,College-1yr+,Married-civ-spouse,Protective-serv,In-family,Male,USA,"(37.5K, 50K]"
26,Privy-corporate,HS-grad,Divorced,Exec-managerial,Unmarried,Female,USA,"(37.5K, 50K]"
36,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,In-family,Male,USA,"above 87.5k"
22,Privy-corporate,5th-6th,Middle-aged,Priv-house-serv,Not-in-family,Male,Guatemala,"(37.5K, 50K]"
17,Privy-corporate,10th,Dating,Machine-op-inspct,Not-in-family,Male,USA,"(12.5K, 25K]"
20,Privy-corporate,HS-grad,Engaged,Craft-repair,In-family,Male,USA,"(12.5K, 25K]"
65,Privy-corporate,Masters,Married-civ-spouse,Prof-specialty,In-family,Male,USA,"(50K, 62.5K]"
44,Self-emp-inc,Assoc-voc,Married-civ-spouse,Sales,In-family,Male,USA,"(75K, 87.5K]"
36,Privy-small-business,HS-grad,Married-civ-spouse,Farming-fishing,In-family,Male,USA,"[0, 12.5K]"
29,Privy-small-business,11th,Married-civ-spouse,Other-service,In-family,Male,USA,"(12.5K, 25K]"
20,State-gov,College-<1yr,Middle-aged,Farming-fishing,In-family,Male,USA,"(37.5K, 50K]"
28,Privy-small-business,Assoc-voc,Married-civ-spouse,Prof-specialty,In-family,Female,USA,"(75K, 87.5K]"
39,Privy-small-business,7th-8th,Married-civ-spouse,Craft-repair,In-family,Male,Mexico,"(37.5K, 50K]"
54,Privy-small-business,College-1yr+,Married-civ-spouse,Transport-moving,In-family,Male,USA,"(37.5K, 50K]"
52,Privy-corporate,11th,Separated,Priv-house-serv,Not-in-family,Female,USA,"(37.5K, 50K]"
56,Self-emp-inc,HS-grad,Widowed,Exec-managerial,Not-in-family,Female,USA,"[0, 12.5K]"
18,Privy-corporate,College-1yr+,Dating,Other-service,In-family,Male,USA,"(37.5K, 50K]"
39,Privy-corporate,HS-grad,Divorced,Handlers-cleaners,In-family,Male,USA,"[0, 12.5K]"
21,Privy-corporate,College-1yr+,Middle-aged,Other-service,In-family,Female,USA,"(12.5K, 25K]"
22,Privy-corporate,HS-grad,Engaged,Other-service,Not-in-family,Male,USA,"(75K, 87.5K]"
38,Privy-small-business,9th,Married-spouse-absent,Exec-managerial,Not-in-family,Male,Mexico,"(12.5K, 25K]"
21,Privy-small-business,College-<1yr,Young-adult,Adm-clerical,In-family,Female,USA,"(25K, 37.5K]"
63,Privy-small-business,HS-grad,Married-civ-spouse,Craft-repair,In-family,Male,USA,"(12.5K, 25K]"
34,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,In-family,Male,USA,"(62.5K, 75K]"
42,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,In-family,Male,USA,"(62.5K, 75K]"
33,Privy-small-business,HS-grad,Married-civ-spouse,Handlers-cleaners,In-family,Male,USA,"(25K, 37.5K]"
30,Privy-small-business,Bachelors,Engaged,Exec-managerial,Not-in-family,Female,USA,"(12.5K, 25K]"
39,Privy-small-business,College-1yr+,Divorced,Sales,Not-in-family,Male,USA,"(37.5K, 50K]"
26,Privy-corporate,Masters,Engaged,Exec-managerial,Not-in-family,Female,USA,"[0, 12.5K]"
33,Privy-corporate,HS-grad,Dating,Machine-op-inspct,In-family,Female,USA,"(37.5K, 50K]"
47,Local-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,USA,"(12.5K, 25K]"
41,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Craft-repair,In-family,Male,USA,"(75K, 87.5K]"
19,Privy-small-business,College-1yr+,Middle-aged,Other-service,In-family,Male,USA,"(12.5K, 25K]"
46,Privy-corporate,HS-grad,Separated,Transport-moving,Not-in-family,Male,USA,"[0, 12.5K]"
43,Privy-small-business,HS-grad,Married-civ-spouse,Sales,In-family,Male,USA,"(37.5K, 50K]"
55,Privy-small-business,College-1yr+,Married-civ-spouse,Exec-managerial,In-family,Male,USA,"above 87.5k"
46,Privy-corporate,Assoc-voc,Married-civ-spouse,Tech-support,In-family,Male,USA,"(25K, 37.5K]"
30,Privy-corporate,HS-grad,Married-civ-spouse,Machine-op-inspct,In-family,Male,Mexico,"(37.5K, 50K]"
21,Privy-small-business,College-<1yr,Separated,Handlers-cleaners,Not-in-family,Female,USA,"(12.5K, 25K]"
46,Privy-small-business,College-1yr+,Married-civ-spouse,Craft-repair,In-family,Male,Caribbean,"(25K, 37.5K]"
41,Privy-corporate,HS-grad,Married-civ-spouse,Machine-op-inspct,In-family,Male,USA,"(25K, 37.5K]"
69,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,In-family,Male,USA,"(37.5K, 50K]"
50,Privy-corporate,HS-grad,Married-civ-spouse,Transport-moving,In-family,Male,USA,"(12.5K, 25K]"
20,Privy-small-business,College-1yr+,Young-adult,Adm-clerical,Not-in-family,Female,USA,"(37.5K, 50K]"
45,Self-emp-inc,College-<1yr,Married-civ-spouse,Machine-op-inspct,In-family,Male,USA,"(37.5K, 50K]"
23,Privy-corporate,Bachelors,Young-adult,Exec-managerial,Not-in-family,Male,USA,"(12.5K, 25K]"
24,Privy-small-business,College-1yr+,Separated,Other-service,Not-in-family,Male,USA,"(12.5K, 25K]"
31,Self-emp-not-inc,College-<1yr,Married-civ-spouse,Craft-repair,In-family,Male,USA,"(25K, 37.5K]"
43,Privy-small-business,HS-grad,Separated,Machine-op-inspct,Not-in-family,Female,USA,"[0, 12.5K]"
20,Federal-gov,11th,Young-adult,Other-service,In-family,Female,USA,"[0, 12.5K]"
55,Privy-corporate,HS-grad,Married-civ-spouse,Sales,In-family,Male,USA,"above 87.5k"
24,Federal-gov,College-<1yr,Engaged,Armed-Forces,Not-in-family,Male,USA,"(25K, 37.5K]"
59,Privy-small-business,Bachelors,Young-adult,Exec-managerial,Not-in-family,Female,USA,"[0, 12.5K]"
49,Federal-gov,7th-8th,Engaged,Other-service,Not-in-family,Male,USA,"[0, 12.5K]"
33,Privy-corporate,Masters,Married-civ-spouse,Prof-specialty,In-family,Female,USA,"(62.5K, 75K]"
59,Federal-gov,Bachelors,Divorced,Adm-clerical,Not-in-family,Male,USA,"(25K, 37.5K]"
34,Privy-corporate,Masters,Engaged,Other-service,Not-in-family,Male,USA,"(12.5K, 25K]"
20,Privy-corporate,HS-grad,Engaged,Handlers-cleaners,In-family,Male,USA,"[0, 12.5K]"
25,Privy-corporate,Bachelors,Dating,Exec-managerial,In-family,Female,USA,"(25K, 37.5K]"
49,Privy-corporate,10th,Married-civ-spouse,Farming-fishing,In-family,Male,USA,"[0, 12.5K]"
59,Privy-small-business,HS-grad,Married-civ-spouse,Transport-moving,In-family,Male,USA,"(75K, 87.5K]"
20,Privy-small-business,HS-grad,Middle-aged,Adm-clerical,Not-in-family,Female,USA,"(12.5K, 25K]"
33,Privy-corporate,College-<1yr,Young-adult,Adm-clerical,Unmarried,Female,USA,"(37.5K, 50K]"
22,Privy-corporate,College-<1yr,Dating,Transport-moving,In-family,Male,USA,"(25K, 37.5K]"
58,Self-emp-not-inc,9th,Widowed,Other-service,Not-in-family,Female,USA,"(12.5K, 25K]"
52,Local-gov,HS-grad,Widowed,Adm-clerical,Unmarried,Female,USA,"(37.5K, 50K]"
36,Privy-small-business,10th,Separated,Machine-op-inspct,Not-in-family,Female,USA,"(12.5K, 25K]"
41,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,In-family,Male,USA,"[0, 12.5K]"
28,Privy-small-business,HS-grad,Young-adult,Transport-moving,In-family,Male,USA,"(12.5K, 25K]"
19,Privy-corporate,College-1yr+,Middle-aged,Handlers-cleaners,In-family,Male,USA,"(25K, 37.5K]"
18,Privy-small-business,HS-grad,Young-adult,Other-service,Not-in-family,Female,USA,"(37.5K, 50K]"
18,Privy-small-business,HS-grad,Young-adult,Machine-op-inspct,In-family,Female,USA,"(12.5K, 25K]"
28,Privy-corporate,College-1yr+,Married-civ-spouse,Craft-repair,In-family,Male,USA,"(25K, 37.5K]"
29,Privy-small-business,Assoc-voc,Married-civ-spouse,Exec-managerial,In-family,Male,USA,"(50K, 62.5K]"
40,Privy-small-business,College-<1yr,Married-civ-spouse,Handlers-cleaners,In-family,Male,USA,"(25K, 37.5K]"
26,Privy-small-business,HS-grad,Middle-aged,Handlers-cleaners,Unmarried,Male,USA,"(12.5K, 25K]"
46,Privy-small-business,HS-grad,Married-civ-spouse,Craft-repair,In-family,Male,USA,"(12.5K, 25K]"
23,Privy-corporate,11th,Dating,Other-service,Not-in-family,Female,USA,"(12.5K, 25K]"
44,Privy-small-business,HS-grad,Married-spouse-absent,Adm-clerical,Unmarried,Female,USA,"(37.5K, 50K]"
43,Privy-small-business,Bachelors,Divorced,Sales,Unmarried,Female,USA,"(62.5K, 75K]"
31,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,Female,USA,"(25K, 37.5K]"
18,Privy-corporate,College-1yr+,Middle-aged,Sales,In-family,Female,USA,"(37.5K, 50K]"
19,Privy-small-business,College-<1yr,Dating,Protective-serv,In-family,Male,USA,"[0, 12.5K]"
41,Privy-corporate,College-<1yr,Divorced,Tech-support,Not-in-family,Female,USA,"(12.5K, 25K]"
41,Privy-small-business,HS-grad,Divorced,Handlers-cleaners,Unmarried,Female,USA,"(12.5K, 25K]"
69,Privy-corporate,HS-grad,Divorced,Adm-clerical,Not-in-family,Female,USA,"[0, 12.5K]"
48,Federal-gov,Doctorate,Married-civ-spouse,Prof-specialty,In-family,Female,USA,"(62.5K, 75K]"
28,Privy-small-business,HS-grad,Young-adult,Prof-specialty,In-family,Male,USA,"(37.5K, 50K]"
27,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,In-family,Male,Ireland,"(50K, 62.5K]"
41,Privy-corporate,Masters,Married-civ-spouse,Prof-specialty,In-family,Male,USA,"(75K, 87.5K]"
41,Privy-corporate,College-<1yr,Married-civ-spouse,Adm-clerical,In-family,Male,USA,"[0, 12.5K]"
24,Privy-small-business,HS-grad,Dating,Craft-repair,Unmarried,Female,USA,"(25K, 37.5K]"
42,Self-emp-inc,Doctorate,Married-civ-spouse,Prof-specialty,In-family,Male,USA,"(75K, 87.5K]"
57,Privy-small-business,HS-grad,Married-civ-spouse,Craft-repair,In-family,Male,USA,"(37.5K, 50K]"
30,Privy-corporate,Assoc-acdm,Middle-aged,Prof-specialty,Not-in-family,Female,USA,"(37.5K, 50K]"
36,Privy-corporate,HS-grad,Married-civ-spouse,Sales,In-family,Male,USA,"(50K, 62.5K]"
49,Privy-corporate,7th-8th,Married-civ-spouse,Machine-op-inspct,In-family,Male,USA,"[0, 12.5K]"
33,Privy-corporate,HS-grad,Married-civ-spouse,Machine-op-inspct,In-family,Female,USA,"(25K, 37.5K]"
23,Privy-corporate,10th,Married-civ-spouse,Farming-fishing,In-family,Male,USA,"(25K, 37.5K]"
46,Privy-corporate,Masters,Married-civ-spouse,Prof-specialty,In-family,Male,USA,"(25K, 37.5K]"
18,Privy-corporate,College-1yr+,Engaged,Adm-clerical,In-family,Female,Germany,"[0, 12.5K]"
40,Privy-corporate,HS-grad,Married-civ-spouse,Exec-managerial,In-family,Male,USA,"(75K, 87.5K]"
43,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,In-family,Male,USA,"(62.5K, 75K]"
34,Privy-corporate,Masters,Young-adult,Prof-specialty,In-family,Female,USA,"(12.5K, 25K]"
47,Self-emp-not-inc,HS-grad,Widowed,Exec-managerial,Not-in-family,Female,USA,"(12.5K, 25K]"
44,Privy-corporate,Assoc-voc,Widowed,Exec-managerial,Unmarried,Female,USA,"(25K, 37.5K]"
33,Privy-small-business,HS-grad,Married-civ-spouse,Sales,In-family,Male,USA,"(62.5K, 75K]"
55,Privy-corporate,Bachelors,Married-civ-spouse,Exec-managerial,In-family,Male,USA,"(75K, 87.5K]"
19,Privy-small-business,HS-grad,Middle-aged,Sales,Not-in-family,Male,USA,"[0, 12.5K]"
28,Privy-corporate,College-<1yr,Middle-aged,Other-service,Not-in-family,Male,USA,"(25K, 37.5K]"
27,Privy-small-business,11th,Married-civ-spouse,Other-service,In-family,Female,USA,"(37.5K, 50K]"
50,Privy-corporate,7th-8th,Married-civ-spouse,Machine-op-inspct,In-family,Male,USA,"(37.5K, 50K]"
22,Privy-small-business,11th,Young-adult,Craft-repair,Unmarried,Male,USA,"(12.5K, 25K]"
40,State-gov,Bachelors,Married-civ-spouse,Adm-clerical,In-family,Male,USA,"(50K, 62.5K]"
25,Privy-corporate,College-1yr+,Dating,Adm-clerical,In-family,Female,USA,"(25K, 37.5K]"
26,Local-gov,HS-grad,Dating,Craft-repair,Not-in-family,Male,USA,"[0, 12.5K]"
22,Privy-small-business,Bachelors,Dating,Sales,Not-in-family,Male,USA,"[0, 12.5K]"
42,Privy-small-business,College-<1yr,Middle-aged,Handlers-cleaners,Unmarried,Female,USA,"(12.5K, 25K]"
38,Self-emp-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,Male,USA,"(25K, 37.5K]"
55,Privy-small-business,11th,Married-civ-spouse,Other-service,In-family,Male,USA,"[0, 12.5K]"
32,Privy-corporate,HS-grad,Married-civ-spouse,Sales,In-family,Male,USA,"(37.5K, 50K]"
22,Privy-small-business,HS-grad,Married-civ-spouse,Craft-repair,In-family,Male,USA,"[0, 12.5K]"
29,Privy-small-business,Bachelors,Dating,Sales,In-family,Male,USA,"(37.5K, 50K]"
46,State-gov,Masters,Married-civ-spouse,Exec-managerial,In-family,Male,USA,"(62.5K, 75K]"
31,Privy-corporate,College-1yr+,Married-civ-spouse,Exec-managerial,In-family,Male,USA,"(75K, 87.5K]"
58,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,In-family,Male,USA,"(75K, 87.5K]"
42,Privy-small-business,HS-grad,Married-civ-spouse,Craft-repair,In-family,Male,USA,"(25K, 37.5K]"
18,Privy-corporate,HS-grad,Dating,Handlers-cleaners,Unmarried,Male,USA,"(12.5K, 25K]"
58,Local-gov,HS-grad,Divorced,Exec-managerial,Not-in-family,Male,USA,"[0, 12.5K]"
54,Privy-small-business,HS-grad,Married-civ-spouse,Prof-specialty,In-family,Male,USA,"(50K, 62.5K]"
34,Privy-corporate,Masters,Engaged,Prof-specialty,Not-in-family,Male,USA,"(25K, 37.5K]"
26,Privy-corporate,Bachelors,Young-adult,Adm-clerical,Not-in-family,Female,USA,"(37.5K, 50K]"
61,Privy-corporate,12th,Married-civ-spouse,Exec-managerial,In-family,Male,USA,"(12.5K, 25K]"
48,Local-gov,Masters,Separated,Adm-clerical,Unmarried,Female,USA,"[0, 12.5K]"
36,Privy-corporate,College-<1yr,Married-civ-spouse,Exec-managerial,In-family,Male,USA,"above 87.5k"
24,Privy-small-business,Assoc-voc,Married-civ-spouse,Machine-op-inspct,In-family,Male,USA,"[0, 12.5K]"
40,Privy-small-business,College-1yr+,Married-civ-spouse,Machine-op-inspct,In-family,Male,USA,"(37.5K, 50K]"
33,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,In-family,Male,USA,"(75K, 87.5K]"
37,Privy-small-business,College-1yr+,Married-civ-spouse,Machine-op-inspct,In-family,Male,USA,"(62.5K, 75K]"
34,Privy-corporate,Masters,Middle-aged,Exec-managerial,In-family,Male,USA,"[0, 12.5K]"
56,Self-emp-inc,College-1yr+,Married-civ-spouse,Exec-managerial,In-family,Male,USA,"(75K, 87.5K]"
37,Privy-corporate,Bachelors,Widowed,Exec-managerial,Not-in-family,Female,USA,"[0, 12.5K]"
44,Privy-small-business,HS-grad,Divorced,Sales,Unmarried,Female,USA,"(25K, 37.5K]"
54,Privy-small-business,HS-grad,Divorced,Handlers-cleaners,Not-in-family,Male,USA,"(12.5K, 25K]"
23,Privy-small-business,HS-grad,Middle-aged,Machine-op-inspct,Not-in-family,Male,USA,"[0, 12.5K]"
22,Privy-corporate,HS-grad,Middle-aged,Other-service,Not-in-family,Female,USA,"(37.5K, 50K]"
33,Privy-small-business,Bachelors,Married-civ-spouse,Exec-managerial,In-family,Male,USA,"above 87.5k"
39,Privy-corporate,Bachelors,Separated,Prof-specialty,Not-in-family,Male,USA,"(62.5K, 75K]"
47,Privy-corporate,College-<1yr,Divorced,Adm-clerical,Not-in-family,Female,USA,"(12.5K, 25K]"
26,Privy-corporate,HS-grad,Engaged,Prof-specialty,Unmarried,Female,USA,"(12.5K, 25K]"
31,Privy-corporate,College-1yr+,Divorced,Exec-managerial,Unmarried,Female,USA,"(25K, 37.5K]"
44,Privy-small-business,College-1yr+,Dating,Transport-moving,Not-in-family,Male,USA,"(37.5K, 50K]"
42,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,In-family,Female,USA,"(50K, 62.5K]"
19,Privy-small-business,HS-grad,Engaged,Machine-op-inspct,Not-in-family,Female,USA,"(12.5K, 25K]"
27,Privy-small-business,HS-grad,Married-civ-spouse,Handlers-cleaners,In-family,Male,USA,"(50K, 62.5K]"
51,Local-gov,College-1yr+,Married-civ-spouse,Protective-serv,In-family,Male,USA,"(50K, 62.5K]"
28,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,In-family,Male,USA,"(12.5K, 25K]"
57,Privy-small-business,Bachelors,Divorced,Craft-repair,Not-in-family,Male,USA,"(37.5K, 50K]"
45,Local-gov,Bachelors,Divorced,Prof-specialty,Unmarried,Female,USA,"(37.5K, 50K]"
50,Privy-small-business,Assoc-voc,Married-civ-spouse,Prof-specialty,In-family,Male,USA,"(50K, 62.5K]"
34,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,In-family,Male,USA,"[0, 12.5K]"
45,Privy-corporate,7th-8th,Married-civ-spouse,Craft-repair,In-family,Male,USA,"(25K, 37.5K]"
73,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,In-family,Male,USA,"[0, 12.5K]"
34,Privy-small-business,Bachelors,Married-civ-spouse,Prof-specialty,In-family,Female,USA,"above 87.5k"
31,Privy-corporate,College-<1yr,Married-civ-spouse,Sales,In-family,Male,USA,"above 87.5k"
19,Privy-small-business,11th,Middle-aged,Sales,Not-in-family,Male,USA,"(37.5K, 50K]"
25,Privy-small-business,College-1yr+,Young-adult,Other-service,In-family,Female,USA,"(37.5K, 50K]"
38,Federal-gov,Assoc-voc,Divorced,Craft-repair,Unmarried,Female,USA,"(12.5K, 25K]"
39,Privy-small-business,Bachelors,Married-civ-spouse,Transport-moving,In-family,Male,USA,"(12.5K, 25K]"
23,Privy-corporate,Bachelors,Dating,Tech-support,In-family,Female,USA,"(25K, 37.5K]"
49,Privy-corporate,HS-grad,Married-civ-spouse,Machine-op-inspct,In-family,Male,USA,"(37.5K, 50K]"
33,Federal-gov,HS-grad,Dating,Other-service,Not-in-family,Male,USA,"(37.5K, 50K]"
21,Privy-corporate,5th-6th,Middle-aged,Machine-op-inspct,Other-relative,Male,Mexico,"(37.5K, 50K]"
31,Privy-small-business,Assoc-voc,Separated,Craft-repair,Not-in-family,Male,USA,"(25K, 37.5K]"
23,Privy-small-business,Bachelors,Young-adult,Exec-managerial,Not-in-family,Female,USA,"[0, 12.5K]"
34,Privy-corporate,Bachelors,Married-civ-spouse,Adm-clerical,In-family,Male,Philippines,"(25K, 37.5K]"
25,Privy-corporate,HS-grad,Middle-aged,Machine-op-inspct,Not-in-family,Female,Philippines,"(12.5K, 25K]"
39,Privy-corporate,HS-grad,Young-adult,Craft-repair,Unmarried,Male,USA,"(37.5K, 50K]"
52,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,In-family,Male,USA,"(75K, 87.5K]"
63,Local-gov,9th,Married-civ-spouse,Transport-moving,In-family,Male,USA,"(75K, 87.5K]"
41,Privy-corporate,College-<1yr,Married-civ-spouse,Craft-repair,In-family,Male,USA,"(25K, 37.5K]"
46,Privy-small-business,Bachelors,Married-civ-spouse,Prof-specialty,In-family,Male,USA,"(75K, 87.5K]"
53,Local-gov,HS-grad,Married-civ-spouse,Exec-managerial,In-family,Male,USA,"(37.5K, 50K]"
18,Privy-small-business,12th,Engaged,Priv-house-serv,In-family,Male,USA,"(12.5K, 25K]"
38,Privy-small-business,Prof-school,Married-civ-spouse,Prof-specialty,In-family,Male,USA,"(37.5K, 50K]"
55,Privy-corporate,Masters,Dating,Exec-managerial,Unmarried,Female,Thailand,"[0, 12.5K]"
34,Privy-small-business,HS-grad,Married-civ-spouse,Tech-support,In-family,Male,USA,"(75K, 87.5K]"
80,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,In-family,Male,USA,"[0, 12.5K]"
34,Privy-small-business,Assoc-voc,Divorced,Tech-support,Unmarried,Female,USA,"(25K, 37.5K]"
52,Privy-corporate,College-1yr+,Married-civ-spouse,Tech-support,In-family,Male,USA,"(25K, 37.5K]"
42,Privy-small-business,HS-grad,Young-adult,Other-service,Unmarried,Female,Caribbean,"(25K, 37.5K]"
26,Privy-small-business,College-<1yr,Middle-aged,Sales,Not-in-family,Female,USA,"(12.5K, 25K]"
31,Privy-corporate,HS-grad,Married-civ-spouse,Transport-moving,In-family,Male,USA,"[0, 12.5K]"
25,Local-gov,HS-grad,Middle-aged,Other-service,In-family,Female,USA,"(37.5K, 50K]"
55,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,In-family,Male,USA,"(25K, 37.5K]"
19,Privy-corporate,College-<1yr,Young-adult,Other-service,In-family,Female,USA,"[0, 12.5K]"
62,Self-emp-not-inc,College-1yr+,Married-civ-spouse,Transport-moving,In-family,Male,USA,"(12.5K, 25K]"
22,Federal-gov,College-1yr+,Middle-aged,Adm-clerical,In-family,Female,USA,"(25K, 37.5K]"
35,Privy-corporate,HS-grad,Married-civ-spouse,Handlers-cleaners,In-family,Male,USA,"(37.5K, 50K]"
28,Privy-small-business,HS-grad,Married-civ-spouse,Sales,In-family,Female,USA,"(25K, 37.5K]"
47,Privy-corporate,HS-grad,Married-civ-spouse,Transport-moving,In-family,Male,USA,"(62.5K, 75K]"
44,State-gov,HS-grad,Married-civ-spouse,Machine-op-inspct,In-family,Male,USA,"(37.5K, 50K]"
21,Privy-corporate,College-1yr+,Dating,Sales,In-family,Male,USA,"(12.5K, 25K]"
35,Privy-small-business,Assoc-voc,Middle-aged,Craft-repair,Not-in-family,Male,USA,"(37.5K, 50K]"
24,Privy-corporate,Bachelors,Married-civ-spouse,Prof-specialty,In-family,Male,USA,"(75K, 87.5K]"
28,Privy-small-business,Bachelors,Young-adult,Tech-support,In-family,Male,USA,"(25K, 37.5K]"
21,Privy-corporate,College-<1yr,Young-adult,Machine-op-inspct,Other-relative,Male,USA,"(37.5K, 50K]"
62,Federal-gov,College-<1yr,Divorced,Tech-support,Not-in-family,Male,USA,"(25K, 37.5K]"
39,Privy-corporate,HS-grad,Young-adult,Other-service,Not-in-family,Female,USA,"(37.5K, 50K]"
30,State-gov,HS-grad,Young-adult,Other-service,Not-in-family,Male,USA,"[0, 12.5K]"
72,Self-emp-not-inc,Prof-school,Middle-aged,Prof-specialty,Not-in-family,Male,USA,"[0, 12.5K]"
50,Privy-corporate,College-1yr+,Married-civ-spouse,Exec-managerial,In-family,Female,USA,"[0, 12.5K]"
28,Local-gov,Masters,Dating,Prof-specialty,Not-in-family,Male,USA,"(37.5K, 50K]"
29,Privy-small-business,College-<1yr,Middle-aged,Prof-specialty,Not-in-family,Female,USA,"[0, 12.5K]"
26,Privy-corporate,Bachelors,Engaged,Adm-clerical,In-family,Female,USA,"(25K, 37.5K]"
27,Privy-small-business,Masters,Young-adult,Exec-managerial,Not-in-family,Female,USA,"[0, 12.5K]"
29,Privy-corporate,College-1yr+,Married-civ-spouse,Handlers-cleaners,In-family,Male,USA,"above 87.5k"
29,Privy-small-business,10th,Married-civ-spouse,Craft-repair,In-family,Male,USA,"[0, 12.5K]"
31,Privy-small-business,11th,Married-civ-spouse,Sales,In-family,Female,USA,"(37.5K, 50K]"
25,Privy-corporate,HS-grad,Married-civ-spouse,Exec-managerial,In-family,Male,USA,"(12.5K, 25K]"
58,Privy-small-business,10th,Married-civ-spouse,Transport-moving,In-family,Male,USA,"(75K, 87.5K]"
64,Privy-corporate,College-1yr+,Married-civ-spouse,Exec-managerial,In-family,Female,USA,"(62.5K, 75K]"
46,State-gov,Masters,Young-adult,Exec-managerial,Not-in-family,Male,USA,"(25K, 37.5K]"
19,Privy-small-business,HS-grad,Dating,Other-service,In-family,Female,USA,"(25K, 37.5K]"
42,Privy-small-business,HS-grad,Divorced,Other-service,Not-in-family,Male,USA,"(12.5K, 25K]"
18,Privy-small-business,11th,Dating,Handlers-cleaners,In-family,Male,USA,"[0, 12.5K]"
58,Self-emp-inc,Bachelors,Married-civ-spouse,Craft-repair,In-family,Male,USA,"(75K, 87.5K]"
